epoch,lr,train_loss,test_loss,test_accuracy,epoch_time_s
1,0.001,0.6052858508757945,0.1889194243740809,94.15,9.026436805725098
2,0.0009990133642141358,0.15305698678088087,0.11485036639378796,96.19,6.263798713684082
3,0.000996057350657239,0.10242763365001313,0.06970851631729003,97.62,6.248728036880493
4,0.0009911436253643444,0.08026626885239123,0.06358171381863847,97.98,6.764245510101318
5,0.0009842915805643156,0.06848687904356703,0.055830011429424294,98.12,6.527638673782349
6,0.0009755282581475769,0.056953010243623814,0.043839014759375655,98.58,6.930575370788574
7,0.0009648882429441258,0.049670377224961766,0.05123788553077869,98.28,6.690280437469482
8,0.0009524135262330099,0.044560413795715965,0.0412080553938676,98.73,5.717669248580933
9,0.0009381533400219318,0.03831243648755747,0.03721522327617129,98.8,5.9204816818237305
10,0.0009221639627510075,0.03342480206592029,0.04282225764859792,98.62,6.7261786460876465
11,0.0009045084971874736,0.029740968425976618,0.036479878260516796,98.73,6.631352424621582
12,0.0008852566213878945,0.02716589290430265,0.03023981417255193,99.03,6.644734144210815
13,0.0008644843137107056,0.023359101311837844,0.030567805471393882,99.02,6.180978536605835
14,0.0008422735529643443,0.021378961031207008,0.03147478070568008,99.02,6.665276765823364
15,0.0008187119948743448,0.01820254999486956,0.03384869889008239,98.95,6.341317415237427
16,0.0007938926261462366,0.017763558418090606,0.03462871410402276,98.88,6.050283908843994
17,0.0007679133974894982,0.014045053698332992,0.04028215453084308,98.88,6.434027194976807
18,0.0007408768370508576,0.013448744919976401,0.03209742615199272,98.98,6.427414417266846
19,0.0007128896457825362,0.011265530726991034,0.03739797583448653,98.97,6.877718925476074
20,0.0006840622763423389,0.010571589149638459,0.03147271063209724,99.12,5.679834842681885
21,0.0006545084971874735,0.008878433389187632,0.03324258452747167,99.1,5.882249355316162
22,0.0006243449435824271,0.008988840283990688,0.031264016613943256,99.12,6.453932523727417
23,0.0005936906572928622,0.0073903904992700204,0.03089224706480861,99.14,6.559756278991699
24,0.000562666616782152,0.005741538099185286,0.03608165371586098,99.07,6.30577540397644
25,0.0005313952597646566,0.005015780831906859,0.03805564527063748,98.99,6.384528160095215
26,0.0004999999999999998,0.005149134337817954,0.04304828892518459,98.95,6.573833227157593
27,0.00046860474023534314,0.00536836737577113,0.03927384408417264,99.03,6.1791770458221436
28,0.00043733338321784774,0.0035927090724889336,0.038416018648244454,99.09,6.270996809005737
29,0.00040630934270713756,0.002955866434032034,0.04041109218284018,99.12,6.186660289764404
30,0.00037565505641757246,0.002289439496020125,0.04063727974329295,99.06,6.217615127563477
31,0.00034549150281252633,0.0020657395305733748,0.04095701137922028,99.04,6.7615485191345215
32,0.00031593772365766105,0.001778687465585443,0.04204782738789622,99.08,6.626981973648071
33,0.00028711035421746355,0.0017914529581272536,0.04144792239350361,99.2,6.7068750858306885
34,0.0002591231629491422,0.001400146528942102,0.03867862716839144,99.2,6.238614082336426
35,0.00023208660251050145,0.0009920650534702626,0.04006734402498455,99.2,6.073868274688721
36,0.00020610737385376337,0.000971992860641626,0.0399083765675782,99.15,6.352968454360962
37,0.00018128800512565502,0.0007085485484090558,0.04282586959021085,99.18,5.5738537311553955
38,0.00015772644703565555,0.0009332480478788096,0.04188007639747317,99.14,6.454298734664917
39,0.00013551568628929425,0.0004744716315991085,0.04487010394267025,99.13,6.384192943572998
40,0.00011474337861210535,0.00044096667200727886,0.04302233179947912,99.13,6.1345603466033936
41,9.549150281252626e-05,0.0003235142229692886,0.0441402512802277,99.15,6.659711599349976
42,7.783603724899252e-05,0.00029762927505947085,0.04469144703303889,99.15,6.735150098800659
43,6.184665997806817e-05,0.00025877796938464565,0.045604562564682316,99.11,6.695047378540039
44,4.7586473766990294e-05,0.00024137024221822112,0.04606554434570659,99.12,6.66010594367981
45,3.5111757055874305e-05,0.00021378774943435122,0.045873481722845826,99.11,6.567873239517212
46,2.4471741852423218e-05,0.00019921989333139103,0.04643772590260142,99.12,6.278059720993042
47,1.5708419435684507e-05,0.0001883719594324585,0.046194176723652336,99.11,7.046986818313599
48,8.856374635655634e-06,0.00017863665390584283,0.046317750221502044,99.11,6.609995365142822
49,3.942649342761115e-06,0.00017120288029838322,0.04630625772539604,99.14,6.509065866470337
50,9.866357858642198e-07,0.00016780423282474375,0.04633107104666944,99.14,6.627542734146118
